ID,x,y,Building,Level
156,0.56,0.27625,1,1
157,0.56,0.28625,1,1
158,0.5475,0.28,1,1
159,0.5325,0.28,1,1
160,0.51125,0.28375,1,1
161,0.525,0.2375,1,1
162,0.52,0.26625,1,1
163,0.5475,0.2525,1,1
164,0.5475,0.23875,1,1
165,0.535,0.35625,1,1
166,0.55,0.395,1,1
167,0.5225,0.39375,1,1
168,0.51,0.39875,1,1
169,0.50125,0.39875,1,1
170,0.49125,0.3975,1,1
171,0.4725,0.38,1,1
172,0.49,0.33625,1,1
173,0.51375,0.32125,1,1
174,0.52375,0.31875,1,1
175,0.42375,0.42375,1,1
176,0.2589875,0.18765,1,0
177,0.27135,0.18765,1,0
178,0.2938125,0.1781,1,0
179,0.3258375,0.1781,1,0
180,0.3353875,0.193825,1,0
181,0.3662875,0.1781,1,0
182,0.403925,0.188775,1,0
183,0.403925,0.217425,1,0
184,0.3174125,0.2061875,1,0
185,0.27865,0.2297875,1,0
186,0.320225,0.2297875,1,0
187,0.332575,0.2455125,1,0
188,0.344375,0.2297875,1,0
189,0.3573,0.2297875,1,0
190,0.3426875,0.246075,1,0
191,0.35505,0.246075,1,0
192,0.3696625,0.2202375,1,0
193,0.3696625,0.23315,1,0
194,0.3696625,0.241575,1,0
195,0.3280875,0.257875,1,0
196,0.2337,0.2730375,1,0
197,0.2494375,0.2803375,1,0
198,0.267975,0.276975,1,0
199,0.2842625,0.2752875,1,0
200,0.2618,0.262925,1,0
201,0.3640375,0.274725,1,0
202,0.2449375,0.2966375,1,0
203,0.2449375,0.31855,1,0
204,0.2449375,0.359,1,0
205,0.2337,0.3382125,1,0
206,0.2449375,0.3803375,1,0
207,0.2831375,0.305625,1,0
208,0.31235,0.3050625,1,0
209,0.3387625,0.2927,1,0
210,0.2792125,0.3443875,1,0
211,0.2792125,0.3741625,1,0
212,0.3320125,0.3668625,1,0
213,0.3022375,0.3398875,1,0
214,0.34775,0.32135,1,0
215,0.3337,0.3393375,1,0
216,0.3533625,0.3393375,1,0
217,0.2438125,0.393825,1,0
218,0.2342625,0.4005625,1,0
219,0.2342625,0.4089875,1,0
220,0.2471875,0.4045,1,0
